,date,I,R,D,C,I_p,C_p
49,2020-03-20,38549,4440,4032,47021,35056.18539378581,47021.0
50,2020-03-21,42681,6072,4825,53578,44844.24590231799,53578.0
51,2020-03-22,46638,7024,5476,59138,51982.72974941649,59138.0
52,2020-03-23,50826,7024,6077,63927,52021.49291343128,63927.0
53,2020-03-24,54030,8326,6820,69176,55587.45370375783,69176.0
54,2020-03-25,57521,9362,7503,74386,60707.29880208224,74386.0
55,2020-03-26,62013,10361,8215,80589,60836.35070638605,80589.0
56,2020-03-27,66414,10950,9134,86498,64670.297348207634,86498.0
57,2020-03-28,70065,12384,10023,92472,72554.13551866988,92472.0
58,2020-03-29,73880,13030,10779,97689,75981.15047826032,97689.0
59,2020-03-30,75528,14620,11591,101739,77142.85345724612,101739.0
60,2020-03-31,77635,15729,12428,105792,81382.33941458442,105792.0
61,2020-04-01,80572,16847,13155,110574,78437.94398529956,110574.0
62,2020-04-02,83049,18278,13915,115242,81812.46638032657,115242.0
63,2020-04-03,85388,19758,14681,119827,86623.48131093723,119827.0
64,2020-04-04,88274,20996,15362,124632,88141.90218910384,124632.0
65,2020-04-05,91246,21815,15887,128948,89921.81505057595,128948.0
66,2020-04-06,93187,22837,16523,132547,93408.8881086548,132547.0
67,2020-04-07,94067,24392,17127,135586,96565.15920395812,135586.0
68,2020-04-08,95262,26491,17669,139422,96871.43574017523,139422.0
69,2020-04-09,96877,28470,18279,143626,95817.89198301954,143626.0
70,2020-04-10,98273,30455,18849,147577,96920.10291234415,147577.0
71,2020-04-11,100269,32534,19468,152271,99844.36476832624,152271.0
72,2020-04-12,102253,34211,19899,156363,101507.1377976784,156363.0
73,2020-04-13,103616,35435,20465,159516,104329.17744945327,159516.0
74,2020-04-14,104291,37130,21067,162488,106326.8040051914,162488.0
75,2020-04-15,105418,38092,21645,165155,105352.4811746718,165155.0
76,2020-04-16,106607,40164,22170,168941,105244.80991405222,168941.0
77,2020-04-17,106962,42727,22745,172434,107451.72186413487,172434.0
78,2020-04-18,107771,44927,23227,175925,108612.64883626191,175925.0
79,2020-04-19,108257,47055,23660,178972,108218.40848131623,178972.0
80,2020-04-20,108237,48877,24114,181228,109051.9125352726,181228.0
81,2020-04-21,107709,51600,24648,183957,109359.06102892836,183957.0
82,2020-04-22,107699,54543,25085,187327,109834.30949085718,187327.0
83,2020-04-23,106848,57576,25549,189973,105029.84432007572,189973.0
84,2020-04-24,106527,60498,25969,192994,109261.35225459984,192994.0
85,2020-04-25,105847,63120,26384,195351,104507.520323045,195351.0
86,2020-04-26,106103,64928,26644,197675,103681.62672052604,197675.0
87,2020-04-27,105813,66624,26977,199414,103370.0062399081,199414.0
88,2020-04-28,105205,68941,27359,201505,107336.42300913396,201505.0
89,2020-04-29,104657,71252,27682,203591,102958.36748744866,203591.0
90,2020-04-30,101551,75945,27967,205463,102676.8909898899,205463.0
91,2020-05-01,100943,78249,28236,207428,102086.82494825676,207428.0
92,2020-05-02,100704,79914,28710,209328,95614.76636286073,209328.0
93,2020-05-03,100179,81654,28884,210717,98540.96490354926,210717.0
94,2020-05-04,99980,82879,29079,211938,97950.90444273812,211938.0
95,2020-05-05,98467,85231,29315,213013,97718.91980124952,213013.0
96,2020-05-06,91528,93245,29684,214457,97209.4237073399,214457.0
97,2020-05-07,89624,96276,29958,215858,95494.603616447,215858.0
98,2020-05-08,87961,99023,30201,217185,78844.88027218351,217185.0
99,2020-05-09,84842,103031,30395,218268,85898.39744246086,218268.0
100,2020-05-10,83324,105186,30560,219070,84396.86705801243,219070.0
101,2020-05-11,82488,106587,30739,219814,79216.44081313706,219814.0
102,2020-05-12,81266,109039,30911,221216,79893.69183060479,221216.0
103,2020-05-13,78457,112541,31106,222104,80838.27922323962,222104.0
104,2020-05-14,76440,115288,31368,223096,78860.09873295983,223096.0
105,2020-05-15,72070,120205,31610,223885,73207.76304548726,223885.0
106,2020-05-16,70187,122810,31763,224760,72822.24574910192,224760.0
107,2020-05-17,68351,125176,31908,225435,63841.95051043874,225435.0
108,2020-05-18,66553,127326,32007,225886,66918.88811267019,225886.0
109,2020-05-19,65129,129401,32169,226699,65176.55410221443,226699.0
110,2020-05-20,62752,132282,32330,227364,63477.9255183168,227364.0
111,2020-05-21,60960,134560,32486,228006,62328.094025019054,228006.0
112,2020-05-22,59322,136720,32616,228658,57758.64108603859,228658.0
113,2020-05-23,57752,138840,32735,229327,57345.43602876004,229327.0
114,2020-05-24,56594,140479,32785,229858,55707.81780210094,229858.0
115,2020-05-25,55300,141981,32877,230158,54210.93095445293,230158.0
116,2020-05-26,52942,144658,32955,230555,54344.9134750223,230555.0
117,2020-05-27,50966,147101,33072,231139,52692.1124080189,231139.0
118,2020-05-28,47986,150604,33142,231732,48421.07102802007,231732.0
119,2020-05-29,46175,152844,33229,232248,46950.7221925906,232248.0
120,2020-05-30,43691,155633,33340,232664,42535.96781329701,232664.0
