,date,beta,gamma,r0,dif,r0_p,dif_p
32,2020-03-05,0.9900000000000008,0.8100000000000005,1.2222222222222223,0.18000000000000027,-13.94438473938743,0.2719666845781845
33,2020-03-06,0.9900000000000008,0.7900000000000005,1.2531645569620256,0.2000000000000003,1.1737217162909859,0.14904785894206574
34,2020-03-07,0.18,0.01,18.0,0.16999999999999998,1.2850587382508527,0.2206152389966875
35,2020-03-08,0.9900000000000008,0.7300000000000004,1.3561643835616441,0.26000000000000034,35.24662964111525,0.13910467706013319
36,2020-03-09,0.24,0.01,24.0,0.22999999999999998,-15.769999942466882,0.35260814783704375
37,2020-03-10,0.23,0.01,23.0,0.22,47.28156363260939,0.19915509718365698
38,2020-03-11,0.9900000000000008,0.8900000000000006,1.1123595505617978,0.1000000000000002,21.97260787992495,0.2097260787992495
39,2020-03-12,0.9900000000000008,0.8000000000000005,1.2375000000000003,0.19000000000000028,-21.35884756567623,-0.02319943121222856
40,2020-03-13,0.9900000000000008,0.7800000000000005,1.2692307692307694,0.2100000000000003,1.3658903025939337,0.2823372681281622
41,2020-03-14,0.9900000000000008,0.8500000000000005,1.1647058823529413,0.14000000000000024,1.301764720380549,0.23050624799743707
42,2020-03-15,0.18,0.01,18.0,0.16999999999999998,1.0576005273748068,0.06827186833282584
43,2020-03-16,0.9900000000000008,0.8400000000000005,1.1785714285714288,0.15000000000000024,35.2409142413963,0.20072280474110527
44,2020-03-17,0.1199999999999999,0.01,11.99999999999999,0.1099999999999999,-16.03860068799179,0.1295294768890124
45,2020-03-18,0.1299999999999999,0.01,12.99999999999999,0.1199999999999999,23.070164181921086,0.06908058124174332
46,2020-03-19,0.9900000000000008,0.8900000000000006,1.1123595505617978,0.1000000000000002,14.022469073466286,0.1302246907346629
47,2020-03-20,0.9900000000000008,0.8400000000000005,1.1785714285714288,0.15000000000000024,-11.036516175596716,0.07956049263462983
48,2020-03-21,0.4300000000000002,0.2800000000000001,1.535714285714286,0.15000000000000013,1.2462070533220762,0.20107514450867092
49,2020-03-22,0.1099999999999999,0.01,10.99999999999999,0.09999999999999991,1.9003751068342254,0.15000000000000002
50,2020-03-23,0.9900000000000008,0.9000000000000006,1.1,0.09000000000000019,20.65940488841659,0.048969181721572275
51,2020-03-24,0.9900000000000008,0.9000000000000006,1.1,0.09000000000000019,-8.99997959600077,0.0797980004080805
52,2020-03-25,0.07,0.01,7.000000000000001,0.060000000000000005,1.1,0.09000000000000019
53,2020-03-26,0.07,0.01,7.000000000000001,0.060000000000000005,13.014552309142317,0.02941753063147956
54,2020-03-27,0.9900000000000008,0.9100000000000006,1.087912087912088,0.08000000000000018,7.000000000000001,0.060000000000000005
55,2020-03-28,0.8700000000000006,0.8000000000000005,1.0875000000000001,0.07000000000000006,-4.9346724890829705,0.10037379912663802
56,2020-03-29,0.06,0.01,6.0,0.049999999999999996,1.0870803514781802,0.059816529203837676
57,2020-03-30,0.06,0.01,6.0,0.049999999999999996,11.001006330141195,0.0296396688849212
58,2020-03-31,0.03,0.01,3.0,0.019999999999999997,6.0,0.049999999999999996
59,2020-04-01,0.9900000000000008,0.9600000000000006,1.0312500000000002,0.030000000000000138,-0.052169968244356824,-0.010521699682443653
60,2020-04-02,0.9900000000000008,0.9500000000000006,1.0421052631578949,0.04000000000000015,-0.9711513878743645,0.040170927684441415
61,2020-04-03,0.04,0.01,4.0,0.03,1.0531429548309412,0.050168055359412655
62,2020-04-04,0.9500000000000006,0.9200000000000006,1.0326086956521738,0.030000000000000027,7.006782219857811,0.019834722032509078
63,2020-04-05,0.04,0.01,4.0,0.03,-1.9830296847610498,0.030000000000000054
64,2020-04-06,0.04,0.01,4.0,0.03,7.014866526803175,0.02999999999999997
65,2020-04-07,0.03,0.01,3.0,0.019999999999999997,4.0,0.03
66,2020-04-08,0.2800000000000001,0.2700000000000001,1.037037037037037,0.010000000000000009,1.9844970556423505,0.009844970556423582
67,2020-04-09,0.02,0.01,2.0,0.01,-0.955893079887943,-0.00015266285980652938
68,2020-04-10,0.9900000000000008,0.9700000000000006,1.020618556701031,0.02000000000000013,2.977442790444485,0.009999999999999992
69,2020-04-11,0.9900000000000008,0.9700000000000006,1.020618556701031,0.02000000000000013,0.026728554766556556,0.030148140019752245
70,2020-04-12,0.03,0.01,3.0,0.019999999999999997,1.020618556701031,0.02000000000000013
71,2020-04-13,0.17,0.15,1.1333333333333335,0.020000000000000018,5.007860277852188,0.019999999999999865
72,2020-04-14,0.02,0.01,2.0,0.01,-0.7598095429701885,0.02000000000000004
73,2020-04-15,0.9900000000000008,0.9800000000000006,1.0102040816326532,0.01000000000000012,2.8787872860635666,-0.00013985330073346125
74,2020-04-16,0.02,0.01,2.0,0.01,0.006756455078942736,0.010000000000000243
75,2020-04-17,0.02,0.01,2.0,0.01,3.0032619063358723,0.00999999999999988
76,2020-04-18,0.9900000000000008,0.9800000000000006,1.0102040816326532,0.01000000000000012,2.0,0.01
77,2020-04-19,0.7800000000000005,0.7700000000000005,1.0129870129870129,0.010000000000000009,0.007298858496120886,0.010000000000000241
78,2020-04-20,0.9900000000000008,0.9800000000000006,1.0102040816326532,0.01000000000000012,1.0158063209750519,0.009999999999999896
79,2020-04-21,0.9900000000000008,0.9800000000000006,1.0102040816326532,0.01000000000000012,1.007385242981205,0.010000000000000233
80,2020-04-22,0.01,0.02,0.5,-0.01,1.0102040816326532,0.01000000000000012
81,2020-04-23,0.9900000000000008,0.9800000000000006,1.0102040816326532,0.01000000000000012,-0.016621489193735073,-0.03025156237639426
82,2020-04-24,0.01,0.02,0.5,-0.01,1.5267458576671906,0.03024843762055418
83,2020-04-25,0.01,0.02,0.5,-0.01,-0.016464018802857083,-0.0302453895370719
84,2020-04-26,0.01,0.02,0.5,-0.01,0.5,-0.01
85,2020-04-27,0.9900000000000008,0.9800000000000006,1.0102040816326532,0.01000000000000012,0.5,-0.01
86,2020-04-28,0.01,0.02,0.5,-0.01,1.526445869994241,0.030236678103774617
87,2020-04-29,0.01,0.02,0.5,-0.01,-0.01617117676699209,-0.03023391012926613
88,2020-04-30,0.01,0.02,0.5,-0.01,0.5,-0.01
89,2020-05-01,0.04,0.07,0.5714285714285714,-0.030000000000000006,0.5,-0.01
90,2020-05-02,0.01,0.02,0.5,-0.01,0.6436642195978295,-0.050225981487392324
91,2020-05-03,0.01,0.02,0.5,-0.01,0.42777336888191364,0.010223456713064127
92,2020-05-04,0.01,0.02,0.5,-0.01,0.5,-0.01
93,2020-05-05,0.01,0.02,0.5,-0.01,0.5,-0.01
94,2020-05-06,0.9800000000000006,0.9900000000000008,0.9898989898989898,-0.01000000000000012,0.5,-0.01
95,2020-05-07,0.8300000000000005,0.9000000000000006,0.9222222222222222,-0.07000000000000006,1.4850373913570927,-0.010000000000000241
96,2020-05-08,0.3100000000000001,0.3300000000000001,0.9393939393939393,-0.020000000000000018,0.8538293183217882,-0.13063490286098167
97,2020-05-09,0.01,0.03,0.33333333333333337,-0.019999999999999997,0.9567454601937361,0.030523545858232026
98,2020-05-10,0.9600000000000006,0.9900000000000008,0.9696969696969696,-0.030000000000000138,-0.27900752491356684,-0.019999999999999976
99,2020-05-11,0.01,0.03,0.33333333333333337,-0.019999999999999997,1.6125872409467803,-0.040102561405354564
100,2020-05-12,0.03,0.04,0.75,-0.010000000000000002,-0.3094906810959408,-0.009898479773254087
101,2020-05-13,0.9800000000000006,0.9900000000000008,0.9898989898989898,-0.01000000000000012,1.1708541656145286,0.00010049997474881334
102,2020-05-14,0.9600000000000006,0.9900000000000008,0.9696969696969696,-0.030000000000000138,1.232184975341255,-0.01000000000000024
103,2020-05-15,0.9700000000000006,0.9900000000000008,0.9797979797979797,-0.02000000000000013,0.9492959196429229,-0.05019703955350663
104,2020-05-16,0.01,0.07,0.14285714285714285,-0.060000000000000005,0.9899975339941073,-0.009902441345833624
105,2020-05-17,0.9700000000000006,0.9900000000000008,0.9797979797979797,-0.02000000000000013,-0.7021698902679034,-0.10038646441073507
106,2020-05-18,0.9700000000000006,0.9900000000000008,0.9797979797979797,-0.02000000000000013,1.8247476366152213,0.020382766356851434
107,2020-05-19,0.9700000000000006,0.9900000000000008,0.9797979797979797,-0.02000000000000013,0.9797979797979797,-0.02000000000000013
108,2020-05-20,0.4700000000000002,0.4900000000000002,0.9591836734693877,-0.020000000000000018,0.9797979797979797,-0.02000000000000013
109,2020-05-21,0.01,0.05,0.19999999999999998,-0.04,0.9383776103000288,-0.019999999999999907
110,2020-05-22,0.01,0.04,0.25,-0.03,-0.5661806094278816,-0.06018432788277739
111,2020-05-23,0.01,0.04,0.25,-0.03,0.3004566114840914,-0.01990867770318172
112,2020-05-24,0.01,0.04,0.25,-0.03,0.25,-0.03
