,beta,gamma,sse
186,0.20000000000000004,0.16,1489029.0993513498
187,0.20000000000000004,0.17,1693638.9221450537
188,0.20000000000000004,0.18000000000000002,1909184.7079633672
189,0.20000000000000004,0.19000000000000003,2135300.7766088895
190,0.21000000000000005,0.01,37891.073976880354
191,0.21000000000000005,0.02,9888.578546634672
192,0.21000000000000005,0.03,26.758684307488863
193,0.21000000000000005,0.04,7771.893775787499
194,0.21000000000000005,0.05,32602.47251102269
195,0.21000000000000005,0.060000000000000005,74008.94803483055
196,0.21000000000000005,0.07,131493.49695976707
197,0.21000000000000005,0.08,204569.78219100053
198,0.21000000000000005,0.09,292762.71951355034
199,0.21000000000000005,0.09999999999999999,395608.24789269106
200,0.21000000000000005,0.10999999999999999,512653.1034387548
201,0.21000000000000005,0.11999999999999998,643454.596987988
202,0.21000000000000005,0.12999999999999998,787580.3952515407
203,0.21000000000000005,0.13999999999999999,944608.3054851121
204,0.21000000000000005,0.15,1114126.0636322144
205,0.21000000000000005,0.16,1295731.1258944
206,0.21000000000000005,0.17,1489030.4636822806
207,0.21000000000000005,0.18000000000000002,1693640.3619015731
208,0.21000000000000005,0.19000000000000003,1909186.220528826
209,0.21000000000000005,0.20000000000000004,2135302.3594319317
210,0.22000000000000006,0.01,84580.03100106944
211,0.22000000000000006,0.02,37890.813942885834
212,0.22000000000000006,0.03,9888.447110349345
213,0.22000000000000006,0.04,26.75191970041629
214,0.22000000000000006,0.05,7772.007850944811
215,0.22000000000000006,0.060000000000000005,32602.703686146226
216,0.22000000000000006,0.07,74009.29266027182
217,0.22000000000000006,0.08,131493.95147409674
218,0.22000000000000006,0.09,204570.34311911283
219,0.22000000000000006,0.09999999999999999,292763.38346479606
220,0.22000000000000006,0.10999999999999999,395609.011559051
221,0.22000000000000006,0.11999999999999998,512653.9635930396
222,0.22000000000000006,0.12999999999999998,643455.5504820736
223,0.22000000000000006,0.13999999999999999,787581.4390146327
224,0.22000000000000006,0.15,944609.4365220484
225,0.22000000000000006,0.16,1114127.2790217842
226,0.22000000000000006,0.17,1295732.4227877078
227,0.22000000000000006,0.18000000000000002,1489031.8393011333
228,0.22000000000000006,0.19000000000000003,1693641.8135368866
229,0.22000000000000006,0.20000000000000004,1909187.7455390834
230,0.22000000000000006,0.21000000000000005,2135303.9552416494
231,0.23000000000000007,0.01,150514.45369740546
232,0.23000000000000007,0.02,84579.63497024761
233,0.23000000000000007,0.03,37890.55167906666
234,0.23000000000000007,0.04,9888.31455055652
235,0.23000000000000007,0.05,26.74509825206507
236,0.23000000000000007,0.060000000000000005,7772.122897387175
237,0.23000000000000007,0.07,32602.936823226308
238,0.23000000000000007,0.08,74009.64020194305
239,0.23000000000000007,0.09,131494.40982356458
240,0.23000000000000007,0.09999999999999999,204570.90876690598
241,0.23000000000000007,0.10999999999999999,292764.05298688443
242,0.23000000000000007,0.11999999999999998,395609.78161498555
243,0.23000000000000007,0.12999999999999998,512654.8309241327
244,0.23000000000000007,0.13999999999999999,643456.5119096115
245,0.23000000000000007,0.15,787582.4914381145
246,0.23000000000000007,0.16,944610.576917461
247,0.23000000000000007,0.17,1114128.50443991
248,0.23000000000000007,0.18000000000000002,1295733.7303524583
249,0.23000000000000007,0.19000000000000003,1489033.2262079166
250,0.23000000000000007,0.20000000000000004,1693643.2770510043
251,0.23000000000000007,0.21000000000000005,1909189.28299415
252,0.23000000000000007,0.22000000000000006,2135305.564038052
253,0.24000000000000007,0.01,236266.1827089671
254,0.24000000000000007,0.02,150513.9151712313
255,0.24000000000000007,0.03,84579.23556251668
256,0.24000000000000007,0.04,37890.2871854467
257,0.24000000000000007,0.05,9888.180867279534
258,0.24000000000000007,0.060000000000000005,26.738219984488545
259,0.24000000000000007,0.07,7772.238915136458
260,0.24000000000000007,0.08,32603.171922283316
261,0.24000000000000007,0.09,74009.99065986478
262,0.24000000000000007,0.09999999999999999,131494.8720081867
263,0.24000000000000007,0.10999999999999999,204571.47913439793
264,0.24000000000000007,0.11999999999999998,292764.72807983065
265,0.24000000000000007,0.12999999999999998,395610.55806050875
